epoch,time_taken
0,1269000
0,1299000
0,1254000
0,1253000
0,1253000
0,1254000
0,1253000
0,1254000
0,1013000
0,1262000
0,1253000
0,1254000
0,1259000
0,1260000
0,1254000
0,1264000
0,1254000
0,1261000
0,1255000
0,1253000
0,1254000
0,1253000
0,1263000
0,1268000
0,1256000
0,1257000
0,1254000
0,1260000
0,1254000
0,1253000
0,1253000
0,1254000
0,1253000
0,1253000
0,1257000
0,1254000
0,1256000
0,1257000
0,1255000
0,1258000
0,1254000
0,1258000
0,1258000
0,1257000
0,1254000
0,1254000
0,1254000
0,1257000
0,1259000
0,1258000
0,1257000
0,1254000
0,1253000
0,1257000
0,1254000
0,1254000
0,1253000
0,1253000
0,1261000
0,1065000
0,1254000
0,1254000
0,1254000
0,1253000
0,1253000
0,1254000
0,1255000
0,1256000
0,1254000
0,1257000
0,1253000
0,1253000
0,1253000
0,1257000
0,1259000
0,1259000
0,1256000
0,1255000
0,1255000
0,1257000
0,1258000
0,1257000
0,1257000
0,1254000
0,1253000
0,1254000
0,1254000
0,1255000
0,1260000
0,1258000
0,1254000
0,1254000
0,1260000
0,1258000
0,1255000
0,1260000
0,1258000
0,1253000
0,1257000
0,1255000
0,1254000
0,1257000
0,1256000
0,1262000
0,1261000
0,1257000
0,1256000
0,1259000
0,1255000
0,1259000
0,1254000
0,1258000
0,1261000
0,1259000
0,1254000
0,1255000
0,1259000
0,1256000
0,1255000
0,1254000
0,1256000
0,1258000
0,1262000
0,1256000
0,1257000
0,1255000
0,1254000
0,1254000
0,1255000
0,1258000
0,1261000
0,1266000
0,1254000
0,1254000
0,1254000
0,1254000
0,1255000
0,1257000
0,1254000
0,1255000
0,1254000
0,1255000
0,1257000
0,1256000
0,1255000
0,1255000
0,1253000
0,1255000
0,1254000
0,1253000
0,1255000
0,1253000
0,1254000
0,1259000
0,1255000
0,1260000
0,1255000
0,1260000
0,1256000
0,1255000
0,1255000
0,1254000
0,1254000
0,1254000
0,1253000
0,1254000
0,1257000
0,1255000
0,1257000
0,1255000
0,1258000
0,1254000
0,1255000
0,1257000
0,1103000
0,1255000
0,1256000
0,1257000
0,1259000
0,1262000
0,1258000
0,1261000
0,1259000
0,1257000
0,1255000
0,1255000
0,1255000
0,1260000
0,1257000
0,1256000
0,1260000
0,1255000
0,1258000
0,1256000
0,1256000
0,1256000
0,1255000
0,1254000
0,1258000
0,1254000
0,1259000
0,1254000
