epoch,time_taken
0,1260000
0,1313000
0,1256000
0,1254000
0,1233000
0,1261000
0,1256000
0,1258000
0,1255000
0,1261000
0,1257000
0,1254000
0,1254000
0,1254000
0,1253000
0,1254000
0,1257000
0,1265000
0,1254000
0,1254000
0,1258000
0,1253000
0,1258000
0,1254000
0,1255000
0,1254000
0,1254000
0,1254000
0,1253000
0,1255000
0,1258000
0,1254000
0,1257000
0,1258000
0,1253000
0,1256000
0,1254000
0,1253000
0,1254000
0,1176000
0,1264000
0,1258000
0,1257000
0,1255000
0,1255000
0,1256000
0,1255000
0,1255000
0,1256000
0,1259000
0,1255000
0,1258000
0,1254000
0,1259000
0,1255000
0,1254000
0,1257000
0,1260000
0,1255000
0,1254000
0,1260000
0,1255000
0,1254000
0,1254000
0,1254000
0,1254000
0,1256000
0,1255000
0,1255000
0,1253000
0,1254000
0,1260000
0,1256000
0,1255000
0,1261000
0,1255000
0,1254000
0,1255000
0,1254000
0,1254000
0,1254000
0,1255000
0,1254000
0,1253000
0,1259000
0,1256000
0,1256000
0,1253000
0,1257000
0,1254000
0,1254000
0,1255000
0,1255000
0,1255000
0,1254000
0,1255000
0,1254000
0,1254000
0,1255000
0,1257000
0,1254000
0,1255000
0,1254000
0,1254000
0,1258000
0,1254000
0,1258000
0,1256000
0,1256000
0,1255000
0,1253000
0,1259000
0,1258000
0,1255000
0,1254000
0,1254000
0,1253000
0,1253000
0,1255000
0,1253000
0,1255000
0,1255000
0,1253000
0,1254000
0,1254000
0,1254000
0,1254000
0,1253000
0,1257000
0,1254000
0,1254000
0,1253000
0,1253000
0,1253000
0,1258000
0,1253000
0,1255000
0,1254000
0,1255000
0,1257000
0,1256000
0,1254000
0,1260000
0,1253000
0,1255000
0,1256000
0,1253000
0,1256000
0,1254000
0,1255000
0,1258000
0,1258000
0,1258000
0,1255000
0,1259000
0,1257000
0,1254000
0,1253000
0,1257000
0,1254000
0,1258000
0,1254000
0,1039000
0,1255000
0,1255000
0,1254000
0,1254000
0,1254000
0,1254000
0,1253000
0,1254000
0,1254000
0,1254000
0,1260000
0,1254000
0,1257000
0,1254000
0,1254000
0,1253000
0,1258000
0,1253000
0,1254000
0,1255000
0,1257000
0,1255000
0,1256000
0,1254000
0,1255000
0,1253000
0,1255000
0,1254000
0,1254000
0,1256000
0,1257000
0,1254000
0,1255000
0,1259000
0,1254000
0,1253000
0,1258000
0,1255000
0,1254000
0,1254000
0,1257000
0,1259000
0,1253000
0,1253000
0,1254000
0,1040000
0,1254000
0,1254000
0,1253000
0,1253000
0,1254000
0,1254000
0,1254000
0,1253000
0,1254000
0,1255000
0,1254000
0,1253000
0,1255000
0,1254000
0,1254000
0,1255000
0,1256000
0,1255000
0,1254000
0,1254000
0,1254000
0,1253000
0,1256000
0,1254000
0,1253000
0,1257000
0,1258000
0,1254000
0,1255000
0,1254000
0,1255000
0,1253000
0,1254000
0,1190000
0,1254000
0,1255000
0,1254000
0,1254000
0,1254000
0,1254000
0,1254000
0,1256000
0,1256000
0,1030000
0,1253000
0,1258000
0,1254000
0,1259000
0,1257000
0,1258000
0,1256000
0,1254000
0,1254000
0,1254000
0,1254000
0,1258000
0,1257000
0,1255000
0,1254000
0,1255000
0,1254000
0,1259000
0,1258000
0,1258000
0,1257000
0,1259000
0,1255000
0,1254000
0,1254000
0,1257000
0,1257000
0,1047000
0,1254000
0,1256000
0,1257000
0,1255000
0,1255000
0,1255000
0,1253000
0,1255000
0,1253000
0,1253000
0,1252000
0,1253000
0,1256000
0,1253000
0,1256000
0,1113000
0,1255000
0,1255000
0,1256000
0,1254000
0,1257000
0,1253000
0,1258000
0,1254000
0,1254000
0,1254000
0,1258000
0,1255000
0,1257000
0,1256000
0,1253000
0,1257000
0,1253000
0,1253000
0,1254000
0,1257000
0,1259000
0,1254000
0,1254000
0,1254000
0,1253000
0,1258000
0,1253000
0,1256000
0,1257000
0,1254000
0,1257000
0,1255000
0,1254000
0,1259000
0,1254000
0,1255000
0,1260000
0,1257000
0,1256000
0,1254000
0,1255000
0,1254000
0,1255000
0,1256000
0,1254000
0,1254000
0,1257000
0,1253000
0,1254000
0,1254000
0,1253000
0,1254000
0,1254000
0,1253000
0,1258000
0,1257000
0,1253000
0,1258000
0,1254000
0,1256000
0,1257000
0,1253000
0,1255000
0,1255000
0,1254000
0,1255000
0,1254000
0,1258000
0,1257000
0,1253000
0,1254000
0,1254000
0,1254000
0,1257000
0,1261000
0,1259000
0,1254000
0,1254000
0,1255000
0,1254000
0,1255000
0,1254000
0,1254000
0,1254000
0,1257000
0,1259000
0,1257000
0,1260000
0,1255000
0,1258000
0,1204000
0,1259000
0,1254000
0,1253000
0,1255000
0,1258000
0,1254000
0,1254000
0,1253000
0,1254000
0,1254000
0,1255000
0,1070000
0,1253000
0,1254000
0,1254000
0,1253000
0,1137000
0,1258000
0,1256000
